State Postal Code,State FIPS,District ID Number,School District Name,County Names,County FIPS
CO,8,4020,Weld County School District RE-8,Broomfield County,14
CO,8,4020,Weld County School District RE-8,Weld County,123
CO,8,7140,Weldon Valley School District RE-20J,Morgan County,87
CO,8,7140,Weldon Valley School District RE-20J,Weld County,123
CO,8,5850,West End School District RE-2,Montrose County,85
CO,8,5070,West Grand School District 1-JT,Eagle County,37
CO,8,5070,West Grand School District 1-JT,Grand County,49
CO,8,5070,West Grand School District 1-JT,Summit County,117
CO,8,7230,Westminster School District 50,Adams County,1
CO,8,6480,Widefield School District 3,El Paso County,41
CO,8,7290,Wiggins School District RE-50J,Adams County,1
CO,8,7290,Wiggins School District RE-50J,Morgan County,87
CO,8,7290,Wiggins School District RE-50J,Weld County,123
CO,8,7320,Wiley School District RE-13-JT,Bent County,11
CO,8,7320,Wiley School District RE-13-JT,Prowers County,99
CO,8,7350,Windsor School District RE-4,Weld County,123
CO,8,7380,Woodland Park School District RE-2,Teller County,119
CO,8,7410,Woodlin School District R-104,Washington County,121
CO,8,17,Wray School District RD-2,Yuma County,125
CO,8,16,Yuma School District 1,Yuma County,125
CT,9,30,Andover School District,Tolland County,13
CT,9,60,Ansonia School District,New Haven County,9
CT,9,90,Ashford School District,Windham County,15
CT,9,120,Avon School District,Hartford County,3
CT,9,150,Barkhamsted School District,Litchfield County,5
CT,9,210,Berlin School District,Hartford County,3
CT,9,240,Bethany School District,New Haven County,9
CT,9,270,Bethel School District,Fairfield County,1
CT,9,330,Bloomfield School District,Hartford County,3
CT,9,360,Bolton School District,Tolland County,13
CT,9,390,Bozrah School District,New London County,11
CT,9,420,Branford School District,New Haven County,9
CT,9,450,Bridgeport School District,Fairfield County,1
CT,9,510,Bristol School District,Hartford County,3
CT,9,540,Brookfield School District,Fairfield County,1
CT,9,570,Brooklyn School District,Windham County,15
CT,9,630,Canaan School District,Litchfield County,5
CT,9,660,Canterbury School District,Windham County,15
CT,9,690,Canton School District,Hartford County,3
CT,9,720,Chaplin School District,Windham County,15
CT,9,750,Cheshire School District,New Haven County,9
CT,9,780,Chester School District,Middlesex County,7
CT,9,810,Clinton School District,Middlesex County,7
CT,9,840,Colchester School District,New London County,11
CT,9,870,Colebrook School District,Litchfield County,5
CT,9,900,Columbia School District,Tolland County,13
CT,9,930,Cornwall School District,Litchfield County,5
CT,9,960,Coventry School District,Tolland County,13
CT,9,990,Cromwell School District,Middlesex County,7
CT,9,1020,Danbury School District,Fairfield County,1
CT,9,1050,Darien School District,Fairfield County,1
CT,9,1080,Deep River School District,Middlesex County,7
CT,9,1110,Derby School District,New Haven County,9
CT,9,1170,East Granby School District,Hartford County,3
CT,9,1200,East Haddam School District,Middlesex County,7
CT,9,1230,East Hampton School District,Middlesex County,7
CT,9,1260,East Hartford School District,Hartford County,3
CT,9,1290,East Haven School District,New Haven County,9
CT,9,1320,East Lyme School District,New London County,11
CT,9,1350,East Windsor School District,Hartford County,3
CT,9,1380,Eastford School District,Windham County,15
CT,9,1410,Easton School District,Fairfield County,1
CT,9,1440,Ellington School District,Tolland County,13
CT,9,1470,Enfield School District,Hartford County,3
CT,9,1500,Essex School District,Middlesex County,7
CT,9,1530,Fairfield School District,Fairfield County,1
CT,9,1560,Farmington School District,Hartford County,3
CT,9,1590,Franklin School District,New London County,11
CT,9,1620,Glastonbury School District,Hartford County,3
CT,9,1680,Granby School District,Hartford County,3
CT,9,1710,Greenwich School District,Fairfield County,1
CT,9,1740,Griswold School District,New London County,11
CT,9,1770,Groton School District,New London County,11
CT,9,1800,Guilford School District,New Haven County,9
CT,9,1860,Hamden School District,New Haven County,9
CT,9,1890,Hampton School District,Windham County,15
CT,9,1920,Hartford School District,Hartford County,3
CT,9,1950,Hartland School District,Hartford County,3
CT,9,2010,Hebron School District,Tolland County,13
CT,9,2040,Kent School District,Litchfield County,5
CT,9,2070,Killingly School District,Windham County,15
CT,9,2130,Lebanon School District,New London County,11
CT,9,2160,Ledyard School District,New London County,11
CT,9,2190,Lisbon School District,New London County,11
CT,9,2220,Litchfield School District,Litchfield County,5
CT,9,2280,Madison School District,New Haven County,9
CT,9,2310,Manchester School District,Hartford County,3
CT,9,2340,Mansfield School District,Tolland County,13
CT,9,2370,Marlborough School District,Hartford County,3
CT,9,2400,Meriden School District,New Haven County,9
CT,9,2490,Middletown School District,Middlesex County,7
CT,9,2520,Milford School District,New Haven County,9
CT,9,2550,Monroe School District,Fairfield County,1
CT,9,2580,Montville School District,New London County,11
CT,9,2640,Naugatuck School District,New Haven County,9
CT,9,2670,New Britain School District,Hartford County,3
CT,9,2700,New Canaan School District,Fairfield County,1
CT,9,2730,New Fairfield School District,Fairfield County,1
CT,9,2760,New Hartford School District,Litchfield County,5
CT,9,2790,New Haven School District,New Haven County,9
CT,9,2820,New London School District,New London County,11
